,Iteration,MSELoss,Unnamed: 0
0,0.0,0.056065895639517305,0.0
1,0.0,0.02620723700160796,0.0
2,0.0,0.0015994755390439609,0.0
3,0.0,0.005285241351707633,0.0
4,0.0,0.027997235391774844,0.0
5,0.0,0.0029373427822523756,0.0
6,0.0,0.057215276499132675,0.0
7,0.0,0.02341493596231255,0.0
8,0.0,0.015647198265350867,0.0
9,0.0,0.03281883389812625,0.0
10,0.0,0.05075678943394472,0.0
11,0.0,0.12863364829760232,0.0
12,0.0,0.09978856783355426,0.0
13,0.0,0.07723940917148577,0.0
14,0.0,0.01870366732702974,0.0
15,0.0,0.02029334943715429,0.0
16,0.0,0.012076163356361906,0.0
17,0.0,0.0020955109460463342,0.0
18,0.0,0.0010652245460523783,0.0
19,0.0,0.017088418357017847,0.0
